Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Boot style (product.metafields.shopify.boot-style),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Footwear material (product.metafields.shopify.footwear-material),Heel height type (product.metafields.shopify.heel-height-type),Shoe features (product.metafields.shopify.shoe-features),Shoe size (product.metafields.shopify.shoe-size),Size (product.metafields.shopify.size),Target gender (product.metafields.shopify.target-gender),Toe style (product.metafields.shopify.toe-style),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
king-of-hearts-nami-slides,,,,,,,,,Men Size 8 - Womens Size 9.5/10,,,,,,,,KHNAMI8,1360.77711,shopify,48,deny,manual,95.00,,true,true,,https://cdn.shopify.com/s/files/1/0795/0080/4401/files/ScreenShot2024-02-08at6.40.35PM.jpg?v=1745279574,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
king-of-hearts-nami-slides,,,,,,,,,Men Size 9 - Womens Size 10.5/11,,,,,,,,KHNAMI9,1360.77711,shopify,13,deny,manual,95.00,,true,true,,https://cdn.shopify.com/s/files/1/0795/0080/4401/files/trav-2697-min.jpg?v=1745279574,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
king-of-hearts-nami-slides,,,,,,,,,Men Size 10 - Womens Size 11.5/12,,,,,,,,KHNAMI10,1360.77711,shopify,0,deny,manual,95.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
king-of-hearts-nami-slides,,,,,,,,,Men Size 11 - Womens Size 12.5/13,,,,,,,,KHNAMI11,1360.77711,shopify,-5,deny,manual,95.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
king-of-hearts-nami-slides,,,,,,,,,Men Size 12 - Womens Size 13.5/14,,,,,,,,KHNAMI12,1360.77711,shopify,0,deny,manual,95.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
king-of-hearts-nami-slides,,,,,,,,,Men Size 13 - Womens Size 14.5/15,,,,,,,,KHNAMI13,1360.77711,shopify,-1,deny,manual,95.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
the-valentines-pink,THE VALENTINES ( PINK ) NAMI,"<p data-mce-fragment=""1""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;"">LAST CHANCE TO GET PINK NAMI SLIDES</span></p>
<p data-mce-fragment=""1""><span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;"">One of the most REQUESTED &amp; Limited Nami EVER MADE </span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">NamiWAVE Foam: </strong>is a premium combination of unique materials that provides Pillow like comfort and support for you foot. Think of it like memory foam for the foot.</p>
<p data-mce-fragment=""1"">Nami Slide is also biodegradable ( More info Coming soon)</p>
<p data-mce-fragment=""1""><em><strong data-mce-fragment=""1"">By Chris Brown &amp; John Dean</strong></em></p>
<p><span style=""text-decoration: underline;""><strong>PLEASE READ BELOW ( VERY IMPORTANT</strong></span>) </p>
<p>- Please Read: <a href=""https://theauracles.xyz/pages/faq"">FAQ</a> </p>
<meta charset=""utf-8"">
<ul>
<ul>
<li>THESE SHIP ASAP! They are instock. Tracking will be sent within 4 business days</li>
<li><span>Comes with The NEW Compact RED Collectible NAMI Box</span></li>
<li><span></span></li>
</ul>
</ul>
<meta charset=""utf-8"">
<ul>
<li><span>PLEASE TAKE YOUR TIME AND PUT IN THE RIGHT ADDRESS AND SIZE! </span></li>
<li><span>LIMITED EDITION &amp; Expected to Sell Out </span></li>
<li><span>SIZES SHOWN ARE MENS SIZES, Please Use Size Chart to convert to Womens</span></li>
<li>
<p>We will do our best to stop bots from purchasing </p>
</li>
</ul>
<p>ALL SALES ARE FINAL</p>",AURACLES,Apparel & Accessories,Footwear,BF24,true,Size,Mens Size 4 - Womens Size 5.5/6,,,,,,,,TVNAMI4,1360.77711,shopify,0,deny,manual,95.00,,true,true,"",https://cdn.shopify.com/s/files/1/0795/0080/4401/files/PinkFrontNami.jpg?v=1745279572,1,"",false,,,Apparel & Accessories > Clothing,,,,,,,,,,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
the-valentines-pink,,,,,,,,,Men Size 5 - Womens Size 6.5/7,,,,,,,,TVNAMI5,1360.77711,shopify,0,deny,manual,95.00,,true,true,"",https://cdn.shopify.com/s/files/1/0795/0080/4401/files/pinktopnami.png?v=1745279572,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
the-valentines-pink,,,,,,,,,Men Size 6 - Womens Size 7.5/8,,,,,,,,TVNAMI6,1360.77711,shopify,0,deny,manual,95.00,,true,true,"",https://cdn.shopify.com/s/files/1/0795/0080/4401/files/PinkSideView.jpg?v=1745279572,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
the-valentines-pink,,,,,,,,,Men Size 7 - Womens Size 8.5/9,,,,,,,,TVNAMI7,1360.77711,shopify,0,deny,manual,95.00,,true,true,"",https://cdn.shopify.com/s/files/1/0795/0080/4401/files/pinkbottom.jpg?v=1745279572,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
